module_index,module_key,level,mips_ra_runtime,callsite_runtime,owner_runtime,family_id,default_policy,note
1,LEVEL_01,Pokitaru,0x09244D24,0x09244D1C,0x09244CB4,WF-008,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09244D44,0x09244D3C,0x09244CB4,WF-008,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09244FA4,0x09244F9C,0x09244ED0,WF-009,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09244FC4,0x09244FBC,0x09244ED0,WF-009,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x092451F4,0x092451EC,0x09245198,WF-007,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09245274,0x0924526C,0x09245198,WF-007,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x0924529C,0x09245294,0x09245198,WF-007,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09247C80,0x09247C78,0x09247B64,WF-010,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09247D40,0x09247D38,0x09247B64,WF-010,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x0925C84C,0x0925C844,0x0925C520,WF-051,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09262A3C,0x09262A34,0x09262920,WF-031,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x0926869C,0x09268694,0x09268650,WF-047,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x0926876C,0x09268764,0x092686F4,WF-033,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09268788,0x09268780,0x092686F4,WF-033,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x092687A4,0x0926879C,0x092686F4,WF-033,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09268914,0x0926890C,0x092686F4,WF-033,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09268938,0x09268930,0x092686F4,WF-033,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09268954,0x0926894C,0x092686F4,WF-033,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x0927E004,0x0927DFFC,0x0927DCEC,WF-016,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x0927E2A8,0x0927E2A0,0x0927DCEC,WF-016,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09288C30,0x09288C28,0x09288868,WF-036,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x092892CC,0x092892C4,0x09288868,WF-036,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09289670,0x09289668,0x09288868,WF-036,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x0928A5D0,0x0928A5C8,0x0928A53C,WF-046,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x092998CC,0x092998C4,0x09299868,WF-006,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x092A5644,0x092A563C,0x092A5530,WF-027,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x092A5660,0x092A5658,0x092A5530,WF-027,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x092A5948,0x092A5940,0x092A5530,WF-027,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x092A596C,0x092A5964,0x092A5530,WF-027,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x092A5A38,0x092A5A30,0x092A5530,WF-027,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x092B79B4,0x092B79AC,0x092B719C,WF-030,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x092C142C,0x092C1424,0x092C1314,WF-019,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x092C16AC,0x092C16A4,0x092C1314,WF-019,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x092C9FB4,0x092C9FAC,0x092C9EF4,WF-012,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x092CA6A0,0x092CA698,0x092CA648,WF-011,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x092CA6BC,0x092CA6B4,0x092CA648,WF-011,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09148294,0x0914828C,0x09148258,WF-005,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x091482B0,0x091482A8,0x09148258,WF-005,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x091482CC,0x091482C4,0x09148258,WF-005,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09148510,0x09148508,0x091484CC,WF-013,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09148534,0x0914852C,0x091484CC,WF-013,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x091486B0,0x091486A8,0x091485C8,WF-020,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x091486D0,0x091486C8,0x091485C8,WF-020,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0914B084,0x0914B07C,0x0914ADE0,WF-015,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09163030,0x09163028,0x09162F3C,WF-014,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09163054,0x0916304C,0x09162F3C,WF-014,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09163078,0x09163070,0x09162F3C,WF-014,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09163594,0x0916358C,0x09163550,WF-021,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09165F24,0x09165F1C,0x09165E2C,WF-017,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09165F48,0x09165F40,0x09165E2C,WF-017,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09165F6C,0x09165F64,0x09165E2C,WF-017,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09167558,0x09167550,0x09167500,WF-022,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0916A3BC,0x0916A3B4,0x0916A348,WF-023,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0916A554,0x0916A54C,0x0916A348,WF-023,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09188974,0x0918896C,0x0918870C,WF-002,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09189050,0x09189048,0x09188AA4,WF-001,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09189084,0x0918907C,0x09188AA4,WF-001,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09189200,0x091891F8,0x09188AA4,WF-001,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0918CEA0,0x0918CE98,0x0918C5BC,WF-003,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09194AE4,0x09194ADC,0x09194A7C,WF-004,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0924A694,0x0924A68C,0x0924A624,WF-008,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0924A6B4,0x0924A6AC,0x0924A624,WF-008,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0924A914,0x0924A90C,0x0924A840,WF-009,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0924A934,0x0924A92C,0x0924A840,WF-009,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0924AB64,0x0924AB5C,0x0924AB08,WF-007,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0924ABE4,0x0924ABDC,0x0924AB08,WF-007,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0924AC0C,0x0924AC04,0x0924AB08,WF-007,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0924D5F0,0x0924D5E8,0x0924D4D4,WF-010,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0924D6B0,0x0924D6A8,0x0924D4D4,WF-010,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x092632C4,0x092632BC,0x09262FF0,WF-032,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09263304,0x092632FC,0x09262FF0,WF-032,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09263320,0x09263318,0x09262FF0,WF-032,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0926335C,0x09263354,0x09262FF0,WF-032,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09263378,0x09263370,0x09262FF0,WF-032,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09263394,0x0926338C,0x09262FF0,WF-032,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0926356C,0x09263564,0x09262FF0,WF-032,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09263650,0x09263648,0x09262FF0,WF-032,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0926366C,0x09263664,0x09262FF0,WF-032,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09263688,0x09263680,0x09262FF0,WF-032,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09264A28,0x09264A20,0x092648C4,WF-026,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09264E24,0x09264E1C,0x09264CAC,WF-025,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x09265594,0x0926558C,0x09265524,WF-057,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x092755B4,0x092755AC,0x09275498,WF-031,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0927BA8C,0x0927BA84,0x0927BA1C,WF-043,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0929F4BC,0x0929F4B4,0x0929F440,WF-055,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x0929FEB0,0x0929FEA8,0x0929FE00,WF-037,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x092A0194,0x092A018C,0x0929FE00,WF-037,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x092A0414,0x092A040C,0x0929FE00,WF-037,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x092A9670,0x092A9668,0x092A9580,WF-053,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x092AF210,0x092AF208,0x092AF1AC,WF-006,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x092DFEB0,0x092DFEA8,0x092DFDF0,WF-012,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x092E059C,0x092E0594,0x092E0544,WF-011,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
2,LEVEL_02,Ryllus,0x092E05B8,0x092E05B0,0x092E0544,WF-011,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x091482D4,0x091482CC,0x09148298,WF-005,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x091482F0,0x091482E8,0x09148298,WF-005,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x0914830C,0x09148304,0x09148298,WF-005,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x09148550,0x09148548,0x0914850C,WF-013,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x09148574,0x0914856C,0x0914850C,WF-013,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x0914AACC,0x0914AAC4,0x0914A828,WF-015,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x09162BC0,0x09162BB8,0x09162ACC,WF-014,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x09162BE4,0x09162BDC,0x09162ACC,WF-014,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x09162C08,0x09162C00,0x09162ACC,WF-014,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x09182680,0x09182678,0x09182418,WF-002,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x09182D5C,0x09182D54,0x091827B0,WF-001,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x09182D90,0x09182D88,0x091827B0,WF-001,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x09182F0C,0x09182F04,0x091827B0,WF-001,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x09187034,0x0918702C,0x09186750,WF-003,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x0918EBB4,0x0918EBAC,0x0918EB4C,WF-004,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x092436AC,0x092436A4,0x0924363C,WF-008,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x092436CC,0x092436C4,0x0924363C,WF-008,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x0924392C,0x09243924,0x09243858,WF-009,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x0924394C,0x09243944,0x09243858,WF-009,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x09243B7C,0x09243B74,0x09243B20,WF-007,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x09243BFC,0x09243BF4,0x09243B20,WF-007,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x09243C24,0x09243C1C,0x09243B20,WF-007,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x09246608,0x09246600,0x092464EC,WF-010,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x092466C8,0x092466C0,0x092464EC,WF-010,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x0927FEF8,0x0927FEF0,0x0927FBE0,WF-016,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x0928019C,0x09280194,0x0927FBE0,WF-016,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x092947F4,0x092947EC,0x09292718,WF-044,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x092A5FDC,0x092A5FD4,0x092A4B04,WF-058,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x092AD56C,0x092AD564,0x092AD508,WF-006,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x092BFB68,0x092BFB60,0x092BF83C,WF-024,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x092DB790,0x092DB788,0x092DB6D0,WF-012,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x092DBE7C,0x092DBE74,0x092DBE24,WF-011,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
3,LEVEL_03,Kalidon,0x092DBE98,0x092DBE90,0x092DBE24,WF-011,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x09148028,0x09148020,0x09147FEC,WF-005,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x09148044,0x0914803C,0x09147FEC,WF-005,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x09148060,0x09148058,0x09147FEC,WF-005,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x091482A4,0x0914829C,0x09148260,WF-013,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x091482C8,0x091482C0,0x09148260,WF-013,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x0914A928,0x0914A920,0x0914A684,WF-015,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x09162804,0x091627FC,0x09162710,WF-014,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x09162828,0x09162820,0x09162710,WF-014,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x0916284C,0x09162844,0x09162710,WF-014,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x09165654,0x0916564C,0x0916561C,WF-029,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x091677B4,0x091677AC,0x09167740,WF-023,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x0916794C,0x09167944,0x09167740,WF-023,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x091856B8,0x091856B0,0x09185450,WF-002,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x09185D94,0x09185D8C,0x091857E8,WF-001,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x09185DC8,0x09185DC0,0x091857E8,WF-001,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x09185F44,0x09185F3C,0x091857E8,WF-001,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x09189BE4,0x09189BDC,0x09189300,WF-003,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x09191774,0x0919176C,0x0919170C,WF-004,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x091DFAD8,0x091DFAD0,0x091DFA40,WF-028,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x091DFAFC,0x091DFAF4,0x091DFA40,WF-028,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x0924C454,0x0924C44C,0x0924C3E4,WF-008,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x0924C474,0x0924C46C,0x0924C3E4,WF-008,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x0924C6D4,0x0924C6CC,0x0924C600,WF-009,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x0924C6F4,0x0924C6EC,0x0924C600,WF-009,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x0924C924,0x0924C91C,0x0924C8C8,WF-007,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x0924C9A4,0x0924C99C,0x0924C8C8,WF-007,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x0924C9CC,0x0924C9C4,0x0924C8C8,WF-007,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x0924F3B0,0x0924F3A8,0x0924F294,WF-010,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x0924F470,0x0924F468,0x0924F294,WF-010,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x09263338,0x09263330,0x092631D4,WF-026,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x09263734,0x0926372C,0x092635BC,WF-025,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x092A2480,0x092A2478,0x092A241C,WF-006,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x092C6500,0x092C64F8,0x092C5CE8,WF-030,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x092DA9B4,0x092DA9AC,0x092DA8F4,WF-012,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x092DB0A0,0x092DB098,0x092DB048,WF-011,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
4,LEVEL_04,Metalis,0x092DB0BC,0x092DB0B4,0x092DB048,WF-011,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
5,LEVEL_05,Dreamtime,0x09148230,0x09148228,0x091481F4,WF-005,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
5,LEVEL_05,Dreamtime,0x0914824C,0x09148244,0x091481F4,WF-005,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
