module,level,rva,file_offset,section,file_word,reference_base,reference_address_NOT_live,runtime_vanilla_word_at_reference_base,patched_encoded,patch_interpretation,flags,layer,mechanic,source,binary_check,continuous,runtime_activation,validation,evidence,nearest_callback_NOT_proven_owner,callback_distance_bytes
1,Pokitaru,0x00115124,0x00115198,.text,0x3C043F80,0x09139D00,0x0924EE24,0x3C043F80,0x3C043F00,literal word,16,2,"Gant Mine Abeille / Bee Mine Glove â€” lui a0,1.0 â†’ 0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,BeeMine,4900
1,Pokitaru,0x00115224,0x00115298,.text,0x3C043F80,0x09139D00,0x0924EF24,0x3C043F80,0x3C043F00,literal word,16,2,"Gant Mine Abeille / Bee Mine Glove â€” lui a0,1.0 â†’ 0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,BeeMine,5156
1,Pokitaru,0x00117B70,0x00117BE4,.text,0x3C0641F0,0x09139D00,0x09251870,0x3C0641F0,0x3C064270,literal word,16,2,"LacÃ©rator / Blaster â€” lui a2,30.0 â†’ lui a2,60.0",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,BlasterAkimbo,220
1,Pokitaru,0x00118144,0x001181B8,.text,0x3C053F80,0x09139D00,0x09251E44,0x3C053F80,0x3C053F00,literal word,16,2,"LacÃ©rator / Blaster â€” lui a1,1.0 â†’ lui a1,0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,BlasterShot,20
1,Pokitaru,0x0011C1F0,0x0011C264,.text,0x3C053F80,0x09139D00,0x09255EF0,0x3C053F80,0x3C053F00,literal word,16,2,"Tremblator / Concussion Gun â€” lui a1,1.0 â†’ lui a1,0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,BlitzGunShot,8
1,Pokitaru,0x0011ED84,0x0011EDF8,.text,0x3C053F80,0x09139D00,0x09258A84,0x3C053F80,0x3C053F00,literal word,16,4,"Timer Ã©tat 0 : 1,0 vers 0,5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,Bolt,8324
1,Pokitaru,0x0011F5DC,0x0011F650,.text,0x24040002,0x09139D00,0x092592DC,0x24040002,0x24040004,literal word,16,4,Cadence dâ€™effet : intervalle 2 vers 4,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,Bolt,10460
1,Pokitaru,0x0012CE80,0x0012CEF4,.text,0x3C04BF80,0x09139D00,0x09266B80,0x3C04BF80,0x3C04BF00,literal word,16,2,"Mine de Sniper / Sniper Mine â€” lui a0,-1.0 â†’ -0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,CrossbowShot,148
1,Pokitaru,0x0012D6A0,0x0012D714,.text,0x3C043F80,0x09139D00,0x092673A0,0x3C043F80,0x3C043F00,literal word,16,2,"Mine de Sniper / Sniper Mine â€” lui a0,1.0 â†’ 0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,CrossbowShot,2228
1,Pokitaru,0x0012D714,0x0012D788,.text,0x3C043F80,0x09139D00,0x09267414,0x3C043F80,0x3C043F00,literal word,16,2,"Mine de Sniper / Sniper Mine â€” lui a0,1.0 â†’ 0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,CrossbowShot,2344
1,Pokitaru,0x0012E208,0x0012E27C,.text,0x3C04BF80,0x09139D00,0x09267F08,0x3C04BF80,0x3C04BF00,literal word,16,2,"Mine de Sniper / Sniper Mine â€” lui a0,-1.0 â†’ -0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,CrystalGroundShard,160
1,Pokitaru,0x0013B960,0x0013B9D4,.text,0x3C043F80,0x09139D00,0x09275660,0x3C043F80,0x3C043F00,literal word,16,2,"IncinÃ©rator / Scorcher â€” lui a0,1.0 â†’ 0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,Flamethrower,112
1,Pokitaru,0x0013BC00,0x0013BC74,.text,0x3C06BF80,0x09139D00,0x09275900,0x3C06BF80,0x3C06BF00,literal word,16,2,"IncinÃ©rator / Scorcher â€” lui a2,-1.0 â†’ -0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,Flamethrower,784
1,Pokitaru,0x0013BD58,0x0013BDCC,.text,0x34040003,0x09139D00,0x09275A58,0x34040003,0x34040006,literal word,16,2,"IncinÃ©rator / Scorcher â€” ori a0,3 â†’ ori a0,6",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,Flamethrower,1128
1,Pokitaru,0x00148E04,0x00148E78,.text,0x46146301,0x09139D00,0x09282B04,0x46146301,0x00000004,jump to plugin-owned cave 4,20,2,"Pisteur Laser / Laser Tracer â€” sub.s f12,f12,f20 â†’ j cave",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,LaserTracer,280
1,Pokitaru,0x00148E08,0x00148E7C,.text,0xE62C0008,0x09139D00,0x09282B08,0xE62C0008,0x00000000,literal word,16,2,"Pisteur Laser / Laser Tracer â€” swc1 f12,8(s1) â†’ nop",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,LaserTracer,284
1,Pokitaru,0x00168CF8,0x00168D6C,.text,0x3C04BF80,0x09139D00,0x092A29F8,0x3C04BF80,0x3C04BF00,literal word,16,2,"T.E.L.T. / R.Y.N.O. â€” lui a0,-1.0 â†’ -0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,Ryno,208
1,Pokitaru,0x001696A0,0x00169714,.text,0x3C053F80,0x09139D00,0x092A33A0,0x3C053F80,0x3C053F00,literal word,16,2,"T.E.L.T. / R.Y.N.O. â€” lui a1,1.0 â†’ 0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,RynoRocket,8
1,Pokitaru,0x0016CC5C,0x0016CCD0,.text,0x3C04BF80,0x09139D00,0x092A695C,0x3C04BF80,0x3C04BF00,literal word,16,2,"BarriÃ¨re Statique / Static Barrier â€” lui a0,-1.0 â†’ -0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,ShieldCharger,228
1,Pokitaru,0x0016D014,0x0016D088,.text,0x3C043D08,0x09139D00,0x092A6D14,0x3C043D08,0x3C043C88,literal word,16,2,"BarriÃ¨re Statique / Static Barrier â€” lui a0,1/30 â†’ 1/60",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,ShieldCharger,1180
1,Pokitaru,0x0016D05C,0x0016D0D0,.text,0x3C04BF80,0x09139D00,0x092A6D5C,0x3C04BF80,0x3C04BF00,literal word,16,2,"BarriÃ¨re Statique / Static Barrier â€” lui a0,-1.0 â†’ -0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,ShieldCharger,1252
1,Pokitaru,0x0016FA6C,0x0016FAE0,.text,0x46148B01,0x09139D00,0x092A976C,0x46148B01,0x00000002,jump to plugin-owned cave 2,20,2,"Roquette Ã‰clair / Shock Rocket â€” sub.s f12,f17,f20 â†’ j cave A",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,ShockRocket,280
1,Pokitaru,0x0016FA98,0x0016FB0C,.text,0x46146301,0x09139D00,0x092A9798,0x46146301,0x00000003,jump to plugin-owned cave 3,20,2,"Roquette Ã‰clair / Shock Rocket â€” sub.s f12,f12,f20 â†’ j cave B",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,ShockRocket,324
1,Pokitaru,0x0016FA9C,0x0016FB10,.text,0x4616603C,0x09139D00,0x092A979C,0x4616603C,0x00000000,literal word,16,2,"Roquette Ã‰clair / Shock Rocket â€” c.lt.s f12,f22 â†’ nop",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,ShockRocket,328
1,Pokitaru,0x001765B4,0x00176628,.text,0xC62C0010,0x09139D00,0x092B02B4,0xC62C0010,0x00000005,jump to plugin-owned cave 5,20,2,"Aspiro-Canon / Suck Cannon â€” lwc1 f12,0x10(s1) â†’ j cave",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannon,780
1,Pokitaru,0x001765B8,0x0017662C,.text,0x46166301,0x09139D00,0x092B02B8,0x46166301,0x00000000,literal word,16,2,"Aspiro-Canon / Suck Cannon â€” sub.s f12,f12,f22 â†’ nop",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannon,784
1,Pokitaru,0x00179F68,0x00179FDC,.text,0x3C04BF80,0x09139D00,0x092B3C68,0x3C04BF80,0x3C04BF00,literal word,16,8,Timer fixe A,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,Teleporter,1448
1,Pokitaru,0x0017A0BC,0x0017A130,.text,0x3C04BF80,0x09139D00,0x092B3DBC,0x3C04BF80,0x3C04BF00,literal word,16,8,Timer fixe B,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,Teleporter,1788
1,Pokitaru,0x0017B78C,0x0017B800,.text,0x3C044000,0x09139D00,0x092B548C,0x3C044000,0x3C043F80,literal word,16,1,"Titanium Bolt, facteur 2,0 â†’ 1,0",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,TitaniumBolt,1984
1,Pokitaru,0x0019AFC8,0x0019B03C,.text,0xC6EC0008,0x09139D00,0x092D4CC8,0xC6EC0008,0x00000006,jump to plugin-owned cave 6,20,2,"Aspiro-Canon / Suck Cannon â€” lwc1 f12,8(s7) â†’ j cave",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,468
1,Pokitaru,0x0019AFCC,0x0019B040,.text,0xC7CD0010,0x09139D00,0x092D4CCC,0xC7CD0010,0x00000000,literal word,16,2,"Aspiro-Canon / Suck Cannon â€” lwc1 f13,0x10(fp) â†’ nop",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,472
1,Pokitaru,0x002CCEC8,0x002CCF3C,.data,0x42700000,0x09139D00,0x09406BC8,0x42700000,0x42F00000,literal word,0,2,Agents Ravageurs / Agents of Doom â€” float 60 â†’ 120,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1253588
1,Pokitaru,0x002CCECC,0x002CCF40,.data,0x42700000,0x09139D00,0x09406BCC,0x42700000,0x42F00000,literal word,0,2,Agents Ravageurs / Agents of Doom â€” float 60 â†’ 120,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1253592
1,Pokitaru,0x002CD5E8,0x002CD65C,.data,0x40000000,0x09139D00,0x094072E8,0x40000000,0x3F800000,literal word,0,2,Agents Ravageurs / Agents of Doom â€” float 2.0 â†’ 1.0,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1255412
1,Pokitaru,0x002CDAA0,0x002CDB14,.data,0x3C360B62,0x09139D00,0x094077A0,0x3C360B62,0x3BB60B62,literal word,0,2,Gant Mine Abeille / Bee Mine Glove â€” float 1/90 â†’ 1/180,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1256620
1,Pokitaru,0x002CDAA4,0x002CDB18,.data,0x41880000,0x09139D00,0x094077A4,0x41880000,0x41080000,literal word,0,8,"Fondu visuel 17 vers 8,5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1256624
1,Pokitaru,0x002CDAAC,0x002CDB20,.data,0x3DD67751,0x09139D00,0x094077AC,0x3DD67751,0x3D567751,literal word,0,2,Gant Mine Abeille / Bee Mine Glove â€” float 0.1047198 â†’ 0.0523599,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1256632
1,Pokitaru,0x002CDAB0,0x002CDB24,.data,0x3E567751,0x09139D00,0x094077B0,0x3E567751,0x3DD67751,literal word,0,2,Gant Mine Abeille / Bee Mine Glove â€” float 0.2094395 â†’ 0.1047198,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1256636
1,Pokitaru,0x002CDAB8,0x002CDB2C,.data,0x3DCCCCCD,0x09139D00,0x094077B8,0x3DCCCCCD,0x3D4CCCCD,literal word,0,2,Gant Mine Abeille / Bee Mine Glove â€” float 0.1 â†’ 0.05,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1256644
1,Pokitaru,0x002CDABC,0x002CDB30,.data,0x3E800000,0x09139D00,0x094077BC,0x3E800000,0x3E000000,literal word,0,2,Gant Mine Abeille / Bee Mine Glove â€” float 0.25 â†’ 0.125,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1256648
1,Pokitaru,0x002CE5B4,0x002CE628,.data,0x00000000,0x09139D00,0x094082B4,0x3C23D657,0x3BA3D6DE,literal word,1,4,"Boulon posÃ© : rotation sin 0,01",experience_v021_manifest.json,PASS,True,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1259456
1,Pokitaru,0x002CE5B8,0x002CE62C,.data,0x00000000,0x09139D00,0x094082B8,0x3F7FFCB9,0x3F7FFF2E,literal word,1,4,"Boulon posÃ© : rotation cos 0,01",experience_v021_manifest.json,PASS,True,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1259460
1,Pokitaru,0x002CE5C0,0x002CE634,.data,0x00000000,0x09139D00,0x094082C0,0x3CF5B920,0x3C75C033,literal word,1,4,"Boulon posÃ© : rotation sin 0,03",experience_v021_manifest.json,PASS,True,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1259468
1,Pokitaru,0x002CE5C4,0x002CE638,.data,0x00000000,0x09139D00,0x094082C4,0x3F7FE283,0x3F7FF8A1,literal word,1,4,"Boulon posÃ© : rotation cos 0,03",experience_v021_manifest.json,PASS,True,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1259472
1,Pokitaru,0x002CE5CC,0x002CE640,.data,0x41700000,0x09139D00,0x094082CC,0x41700000,0x41F00000,literal word,0,4,DÃ©nominateur Ã©tat 1 : 15 vers 30,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1259480
1,Pokitaru,0x002CE760,0x002CE7D4,.data,0x3D75C291,0x09139D00,0x09408460,0x3D75C291,0x3CF5C28F,literal word,0,4,Attraction : incrÃ©ment linÃ©aire,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1259884
1,Pokitaru,0x002CE768,0x002CE7DC,.data,0x3DF5C28F,0x09139D00,0x09408468,0x3DF5C28F,0x3D7D9C85,literal word,0,4,Attraction : lissage exponentiel,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1259892
1,Pokitaru,0x002CE770,0x002CE7E4,.data,0x00000000,0x09139D00,0x09408470,0x3C888889,0x3C088889,literal word,1,4,Attraction : phase,experience_v021_manifest.json,PASS,True,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1259900
1,Pokitaru,0x002CE778,0x002CE7EC,.data,0x00000000,0x09139D00,0x09408478,0x3DCC7578,0x3D4CB6F5,literal word,1,4,Attraction : rotation sin,experience_v021_manifest.json,PASS,True,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1259908
1,Pokitaru,0x002CE77C,0x002CE7F0,.data,0x00000000,0x09139D00,0x0940847C,0x3F7EB898,0x3F7FAE19,literal word,1,4,Attraction : rotation cos,experience_v021_manifest.json,PASS,True,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1259912
1,Pokitaru,0x002D1708,0x002D177C,.data,0x3F2AAAAB,0x09139D00,0x0940B408,0x3F2AAAAB,0x3EAAAAAB,literal word,0,8,Cadence dâ€™Ã©mission 2/3 vers 1/3,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1272084
1,Pokitaru,0x002D2DD4,0x002D2E48,.data,0x41700000,0x09139D00,0x0940CAD4,0x41700000,0x41F00000,literal word,0,2,Pisteur Laser / Laser Tracer â€” float 15 â†’ 30,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1277920
1,Pokitaru,0x002D2DD8,0x002D2E4C,.data,0x40C00000,0x09139D00,0x0940CAD8,0x40C00000,0x41400000,literal word,0,2,Pisteur Laser / Laser Tracer â€” float 6 â†’ 12,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1277924
1,Pokitaru,0x002D55D8,0x002D564C,.data,0x3BF2B9D6,0x09139D00,0x0940F2D8,0x3BF2B9D6,0x3B72B9D6,literal word,0,2,Bovinator / Mootator â€” float â‰ˆ1/135 â†’ â‰ˆ1/270,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1288164
1,Pokitaru,0x002D55DC,0x002D5650,.data,0x3C360B61,0x09139D00,0x0940F2DC,0x3C360B61,0x3BB60B61,literal word,0,2,Bovinator / Mootator â€” float â‰ˆ1/90 â†’ â‰ˆ1/180,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1288168
1,Pokitaru,0x002D55E0,0x002D5654,.data,0x3C888889,0x09139D00,0x0940F2E0,0x3C888889,0x3C088889,literal word,0,2,Bovinator / Mootator â€” float â‰ˆ1/60 â†’ â‰ˆ1/120,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1288172
1,Pokitaru,0x002D55E4,0x002D5658,.data,0x3D088889,0x09139D00,0x0940F2E4,0x3D088889,0x3C888889,literal word,0,2,Bovinator / Mootator â€” float â‰ˆ1/30 â†’ â‰ˆ1/60,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1288176
1,Pokitaru,0x002D55E8,0x002D565C,.data,0x3D088889,0x09139D00,0x0940F2E8,0x3D088889,0x3C888889,literal word,0,2,Bovinator / Mootator â€” float â‰ˆ1/30 â†’ â‰ˆ1/60,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1288180
1,Pokitaru,0x002D55EC,0x002D5660,.data,0x3D088889,0x09139D00,0x0940F2EC,0x3D088889,0x3C888889,literal word,0,2,Bovinator / Mootator â€” float â‰ˆ1/30 â†’ â‰ˆ1/60,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1288184
1,Pokitaru,0x002D55F0,0x002D5664,.data,0x3D088889,0x09139D00,0x0940F2F0,0x3D088889,0x3C888889,literal word,0,2,Bovinator / Mootator â€” float â‰ˆ1/30 â†’ â‰ˆ1/60,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,SuckCannonComet,1288188
