family_id,family_status,family_key,owner_signature_sha256,module_count,member_count,callsite_count,pokitaru_callsite_count,ryllus_callsite_count,focus_callsite_count,module_indices,levels,present_in_pokitaru,present_in_ryllus,pokitaru_ryllus_scope,full_function_hash_variants,function_size_variants,static_domain_hypotheses,domain_evidence,evidence_strength,exact_object_descriptors,object_ancestors_depth_le_3,symbolic_names,source_paths,same_function_patch_layers,same_function_patch_mechanics,profiling_priority,safe_initial_policy,test_recipe,static_limit
WF-011,confirmed,SIG-EF8CE773C105,ef8ce773c105cac024df4f5419052a7e0f7839ec6fc98bfb101f0c2adf2ff27d,12,12,24,2,2,4,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 23; 24,Airboard — niveau 6; Challax; Dayni Moon; Dreamtime; HIG Treehouse; Inside Clank; Kalidon; Medical Outpost Omega; Metalis; Pokitaru; Quadrona; Ryllus,yes,yes,commune aux deux,1,492,Armes et dégâts,mots-clés agentofdoom,faible,,AgentOfDoom@3,,,,,P1 — trace Pokitaru/Ryllus,VANILLA_UNTIL_PROFILED,"Mesurer cadence, consommation de munitions et dégâts sur une cible stable ; pour les effets continus, mesurer aussi les ticks et la durée résiduelle.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-012,confirmed,SIG-4F3D3C79217E,4f3d3c79217e7c044187dd74de1846b5567bcf0b2fc562ada0faa98f6b3aac18,12,12,12,1,1,2,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 23; 24,Airboard — niveau 6; Challax; Dayni Moon; Dreamtime; HIG Treehouse; Inside Clank; Kalidon; Medical Outpost Omega; Metalis; Pokitaru; Quadrona; Ryllus,yes,yes,commune aux deux,1,524,Armes et dégâts,"mots-clés agentofdoom, mutantcow, mutantmadcow",moyenne,,MutantCow@2; MutantMadCow@2; AgentOfDoom@3,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Mesurer cadence, consommation de munitions et dégâts sur une cible stable ; pour les effets continus, mesurer aussi les ticks et la durée résiduelle.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-013,confirmed,SIG-79A53DD581D4,79a53dd581d4d0841d3dba3fd01f10e49941c5aef283405a13b839bf117a9831,10,10,20,2,2,4,1; 2; 3; 4; 5; 6; 7; 8; 9; 10,Challax; Dayni Moon; Dreamtime; Inside Clank; Kalidon; Medical Outpost Omega; Metalis; Pokitaru; Quadrona; Ryllus,yes,yes,commune aux deux,1,252,Helper transversal / contextes multiples,43 objets parents distincts à trois appels ou moins ; aucune association exclusive,faible,,Crab@1; Drone01@1; FarmerBot@1; HappyRam@1; MonsterRam@1; Mungo@1; MungoDrone@1; Pygmy@1; Razorback@1; RiotCar@1; TMRobotHead@1; TMRobotHeadB@1; TMRobotHeadC@1; TMRobotTorsoA@1; TMRobotTorsoB@1; VehicleMissile@1; BustyNurse@2; ClankBotFlingerVehicle@2; ElectroSoldier01@2; ElectroSoldier02@2; EliteCloneSpeedy@2; EnemyBotFlingerVehicle@2; FactoryInspector@2; FactoryWorker@2; LunaCutscene@2; LunaNPC@2; Lvl05Boat@2; MedicBot@2; NanoBot@2; OttoGiant@2; PygmyB@2; QuarkDoctor@2; RatchetCloneBlaster@2; RatchetCloneWrench@2; ShockSoldier01@2; ShockSoldier02@2; Sprout@2; TMRobotTorsoCutscene@2; TrainingBot@2; EliteCloneMuscle@3; HappyRamVehicle@3; HeavyTorso01@3; StoneIdol@3,,,,,P1 — trace Pokitaru/Ryllus,VANILLA_UNTIL_PROFILED,Tracer d’abord dans plusieurs scènes représentatives sans changer la politique ; séparer ensuite les callsites si une même famille dessert des objets aux comportements différents.,La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-014,confirmed,SIG-04DFBFD0E865,04dfbfd0e8658f0836f0e5363b70ea615481b1beeaceecab7571875f452a1101,9,9,27,3,3,6,1; 2; 3; 4; 6; 7; 8; 9; 10,Challax; Dayni Moon; Inside Clank; Kalidon; Medical Outpost Omega; Metalis; Pokitaru; Quadrona; Ryllus,yes,yes,commune aux deux,1,352,Helper transversal / contextes multiples,31 objets parents distincts à trois appels ou moins ; aucune association exclusive,faible,,BustyNurse@2; CBEnterCutscene@2; Drone01@2; ElectroSoldier01@2; ElectroSoldier02@2; FarmerBot@2; HappyRam@2; HeavyTorso01@2; MedicBot@2; MonsterRam@2; Mungo@2; NanoBot@2; Razorback@2; ShockSoldier02@2; TMRobotHead@2; TMRobotHeadB@2; TMRobotHeadC@2; TMRobotTorsoA@2; TMRobotTorsoB@2; TrainingBot@2; Crab@3; EliteCloneMuscle@3; EliteCloneSpeedy@3; Otto@3; OttoGiant@3; Pygmy@3; PygmyB@3; RatchetCloneBlaster@3; RatchetCloneWrench@3; ShockSoldier01@3; StoneIdol@3,,,,,P1 — trace Pokitaru/Ryllus,VANILLA_UNTIL_PROFILED,Tracer d’abord dans plusieurs scènes représentatives sans changer la politique ; séparer ensuite les callsites si une même famille dessert des objets aux comportements différents.,La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-015,confirmed,SIG-80D909CCEA18,80d909ccea185b2b92de4eaeda906b378de28efe8a0015d6d7c6ef3382388145,8,8,8,1,1,2,1; 2; 3; 4; 7; 8; 23; 24,Airboard — niveau 6; Challax; Dayni Moon; HIG Treehouse; Kalidon; Metalis; Pokitaru; Ryllus,yes,yes,commune aux deux,1,820,Joueur et locomotion; Objets mobiles et mécanismes; Animation,"mots-clés ratchet; mots-clés dropship, flyingcar; mots-clés anim, animation",moyenne,,DropshipC@1; FlyingCar@1; RiotCar@1; RatchetShipAnimation@2,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Comparer sur une trajectoire reproductible distance, hauteur, durée du saut et retour à l’état neutre à 30 puis 60 FPS.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-016,confirmed,SIG-0645F7B05606,0645f7b05606ef3a65fb05c30cb28b136525070194503caf482f455e63e6112b,6,6,12,2,0,2,1; 3; 6; 7; 9; 10,Challax; Inside Clank; Kalidon; Medical Outpost Omega; Pokitaru; Quadrona,yes,no,Pokitaru,1,2116,Objets mobiles et mécanismes,mots-clés door,forte,HutDoor,HutDoor@0,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-017,confirmed,SIG-99BA6F21BD27,99ba6f21bd2768eaf20675803240b2d25011eaf50751c8660e6d6c0e7df0b24e,5,5,15,3,3,6,1; 2; 5; 7; 8,Challax; Dayni Moon; Dreamtime; Pokitaru; Ryllus,yes,yes,commune aux deux,1,1224,Ennemis et acteurs,"mots-clés npc, sprout",moyenne,,LunaNPC@1; Sprout@1,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-018,confirmed,SIG-82989A6C4EEC,82989a6c4eecfb1fd80f59b58fa5d389533ed73d0be2863bb998cf157d578327,5,5,10,0,0,0,5; 7; 8; 9; 10,Challax; Dayni Moon; Dreamtime; Inside Clank; Quadrona,no,no,hors focus,1,116,Armes et dégâts; Joueur et locomotion; Objets mobiles et mécanismes,mots-clés blaster; mots-clés ratchet; mots-clés vehicle,moyenne,,RiotCar@1; HappyRamVehicle@3; OttoChase@3; RatchetCloneBlaster@3; TrainingDummy@3,,,,,P2 — extension multi-niveaux,VANILLA_UNTIL_PROFILED,"Mesurer cadence, consommation de munitions et dégâts sur une cible stable ; pour les effets continus, mesurer aussi les ticks et la durée résiduelle.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-019,confirmed,SIG-3B907CD5CC65,3b907cd5cc656038144a6afcdafb360ea2f974f6c0162e3889eeb8e4aa74e891,4,4,8,2,0,2,1; 7; 8; 10,Challax; Dayni Moon; Pokitaru; Quadrona,yes,no,Pokitaru,1,1680,Objets mobiles et mécanismes,"mots-clés door, trigger",forte,TriggeredDoor,TriggeredDoor@0,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-020,confirmed,SIG-752E0B48A9EE,752e0b48a9ee282ed55f66baedc8db0a8c289b5a6e9ca07a6da112cd10c178ec,4,4,8,0,2,2,2; 5; 7; 8,Challax; Dayni Moon; Dreamtime; Ryllus,no,yes,Ryllus,1,408,Ennemis et acteurs,"mots-clés clank, sprout",moyenne,,CBEnterCutscene@1; Sprout@2; ClankBot@3,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-021,confirmed,SIG-35D0F36A26B7,35d0f36a26b74dad46db02b1ada278665ea20e7bd849ac85d72c8646adb2672f,4,4,4,1,1,2,1; 2; 8; 10,Dayni Moon; Pokitaru; Quadrona; Ryllus,yes,yes,commune aux deux,1,120,Armes et dégâts; Joueur et locomotion; Ennemis et acteurs,"mots-clés blaster; mots-clés ratchet; mots-clés crab, pygmy, razorback",moyenne,,Razorback@1; Crab@2; MonsterRam@2; RatchetCloneBlaster@2; HappyRam@3; Pygmy@3; PygmyB@3,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Mesurer cadence, consommation de munitions et dégâts sur une cible stable ; pour les effets continus, mesurer aussi les ticks et la durée résiduelle.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-022,confirmed,SIG-F8EA386972E1,f8ea386972e1b50a30daf2f7db5ba41bb74d52f776f669f8474fee809046ab70,4,4,4,0,1,1,2; 5; 7; 8,Challax; Dayni Moon; Dreamtime; Ryllus,no,yes,Ryllus,1,1568,Ennemis et acteurs,"mots-clés clank, sprout",moyenne,,Sprout@1; ClankBot@2,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-023,confirmed,SIG-FB5992A0070A,fb5992a0070a91b0201d54bc93235211348c068f2727e605352e5b4579aeafc4,3,3,6,0,2,2,2; 4; 8,Dayni Moon; Metalis; Ryllus,no,yes,Ryllus,1,816,Ennemis et acteurs,"mots-clés clank, microbot, robot",moyenne,,Microbot@2; ClankBot@3,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-024,confirmed,SIG-2C961F864EAB,2c961f864eab9cbbc8f812799ed3dd9b2c8c46d60f6b6add12d96ae57252139c,3,3,3,0,0,0,3; 22; 23,Airboard — niveau 3; Airboard — niveau 6; Kalidon,no,no,hors focus,1,892,Ennemis et acteurs,mots-clés skyboarder,moyenne,,Skyboarder01@2,,,,,P2 — extension multi-niveaux,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-025,confirmed,SIG-6AF8E220A397,6af8e220a397c04d359bbc2bbe9a89e9197b54387526b8c510a86ee3a1605bfe,3,3,3,0,1,1,2; 4; 8,Dayni Moon; Metalis; Ryllus,no,yes,Ryllus,1,600,Ennemis et acteurs,mots-clés botflinger,moyenne,,BotFlingerArm@1,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-026,confirmed,SIG-6B9DB198095E,6b9db198095e448db820c826167fd6d487a30943fcc737a2dd10d6ccaf92d765,3,3,3,0,1,1,2; 4; 8,Dayni Moon; Metalis; Ryllus,no,yes,Ryllus,1,1000,Ennemis et acteurs,mots-clés botflinger,moyenne,,BotFlingerArm@1,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-027,confirmed,SIG-5D54A6BA6887,5d54a6ba6887902b05951c6e2acd18585993b61cde7dcbbd896f130f8c09da3a,2,2,10,5,0,5,1; 5,Dreamtime; Pokitaru,yes,no,Pokitaru,1,1496,Ennemis et acteurs,mots-clés shark,forte,SharkagatorFin,SharkagatorFin@0,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-028,confirmed,SIG-0EC0CEF6F2F6,0ec0cef6f2f6ad0d0161843c3498fd6f948cf213a73f2e1085d897ff4317e3ab,2,2,4,0,0,0,4; 8,Dayni Moon; Metalis,no,no,hors focus,1,216,Ennemis et acteurs,mots-clés clank,moyenne,,ClankElectroTorso@1; ClankRamTorso@1; ClankSawTorso@1; ClankSpikeTorso@1,,,,,P2 — extension multi-niveaux,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-029,confirmed,SIG-115F00033622,115f00033622306dcf867e183c9f6642f2f63811e567592db1eae411468321d7,2,2,2,0,0,0,4; 8,Dayni Moon; Metalis,no,no,hors focus,1,124,Helper transversal / contextes multiples,12 objets parents distincts à trois appels ou moins ; aucune association exclusive,faible,,ClankBotFlingerVehicle@2; ClankElectroTorso@2; ClankRamTorso@2; ClankSawTorso@2; ClankSpikeTorso@2; EnemyBotFlingerVehicle@2; EnemyElectroTorso@2; EnemyRamTorso@2; EnemySawTorso@2; FarmerVehicle@2; HappyRamVehicle@2; SmasherBot@2,,,,,P2 — extension multi-niveaux,VANILLA_UNTIL_PROFILED,Tracer d’abord dans plusieurs scènes représentatives sans changer la politique ; séparer ensuite les callsites si une même famille dessert des objets aux comportements différents.,La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-030,confirmed,SIG-9902F5329D51,9902f5329d512e1bc1b78c27411c23309a4823f4df8d8669844c51eecb9a9eb1,2,2,2,1,0,1,1; 4,Metalis; Pokitaru,yes,no,Pokitaru,1,4348,Ennemis et acteurs,"mots-clés moby, robot",forte,TMRobotHeadB,TMRobotHeadB@0,TMRobotHeadB_Update,c:/Hig/Projects/Rcp1/Code/MOBYS/TMRobotHeadB/TMRobotHeadB.cpp,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-031,confirmed,SIG-D5EC0EAA0354,d5ec0eaa0354ff5ec367853f11f4eeff9ca4b9752f268240f932af2fc35b3125,2,2,2,1,1,2,1; 2,Pokitaru; Ryllus,yes,yes,commune aux deux,1,1904,Objets mobiles et mécanismes,mots-clés crank,forte,CrankedObject,CrankedObject@0,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-032,confirmed,SIG-D0353D804310,d0353d804310b3301833e2e32d8c11fe8606d906168c0e8c2651f423e05d91f1,1,1,10,0,10,10,2,Ryllus,no,yes,Ryllus,1,1896,Ennemis et acteurs,mots-clés botflinger,moyenne,,BotFlinger@2,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-033,confirmed,SIG-1341B84EEFD5,1341b84eefd53e1b93c39e140dedffcf20547b0a8c287e4149cd2b4480c60b7c,1,1,6,6,0,6,1,Pokitaru,yes,no,Pokitaru,1,992,Objets mobiles et mécanismes,mots-clés dropship,moyenne,,DropshipB@1,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Chronométrer un cycle complet et relever les positions de début, milieu et fin ; tester également la reprise après pause ou éloignement.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-034,confirmed,SIG-C883DC2E5A18,c883dc2e5a188aa750faecaf76924f0984aa9e92e11aa1fad82001690edbb300,1,1,4,0,0,0,6,Medical Outpost Omega,no,no,hors focus,1,432,Indéterminé,,indéterminée,,,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Tracer le compteur par scène, puis provoquer une seule action à la fois afin de distinguer appel par frame, tick fixe et appel événementiel.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-035,confirmed,SIG-F1CC695FE649,f1cc695fe649ce19b5cc47f5d02319aebc6fe39e30cb944077d7a1798d9d0b19,1,1,4,0,0,0,8,Dayni Moon,no,no,hors focus,1,1832,Ennemis et acteurs,mots-clés boss,moyenne,,LunaBoss@1,,,,,P3 — niveau spécifique,VANILLA_UNTIL_PROFILED,"Chronométrer déplacement, délai d’acquisition, cadence d’attaque et récupération sur le même ennemi sans le tuer trop vite.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
